,id_student,highest_education,final_result,1752,1753,1754,1755,1756,1757,S1752,S1753,S1754,S1755,S1756,S1757,TSC,TDC,excellent,qualified,AS,EwC
0,11391,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,78.0,85.0,80.0,85.0,82.0,0.0,934.0,196.0,1.0,1.0,0.0,0.0
1,28400,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,70.0,68.0,70.0,64.0,60.0,0.0,1435.0,430.0,0.0,1.0,0.0,0.0
2,30268,A Level or Equivalent,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,76.0,0.0,0.0,0.0,0.0
3,31604,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,71.0,74.0,88.0,75.0,0.0,2158.0,663.0,0.0,1.0,0.0,0.0
4,32885,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,69.0,30.0,63.0,35.0,75.0,0.0,1034.0,352.0,0.0,1.0,0.0,0.0
5,38053,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,79.0,69.0,74.0,50.0,68.0,0.0,2445.0,723.0,0.0,1.0,0.0,0.0
6,45462,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,70.0,65.0,62.0,75.0,68.0,0.0,1492.0,355.0,0.0,1.0,0.0,0.0
7,45642,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,72.0,72.0,73.0,73.0,0.0,1428.0,531.0,0.0,1.0,0.0,0.0
8,52130,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,68.0,75.0,72.0,70.0,0.0,1894.0,593.0,0.0,1.0,0.0,0.0
9,53025,Post Graduate Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,71.0,80.0,78.0,80.0,81.0,0.0,3158.0,904.0,0.0,1.0,0.0,0.0
10,57506,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,68.0,76.0,78.0,80.0,68.0,0.0,1319.0,403.0,0.0,1.0,0.0,0.0
11,58873,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,73.0,74.0,68.0,73.0,78.0,0.0,1732.0,526.0,0.0,1.0,0.0,0.0
12,59185,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,67.0,71.0,78.0,88.0,89.0,0.0,1102.0,345.0,0.0,1.0,0.0,0.0
13,62155,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,73.0,85.0,75.0,70.0,77.0,0.0,3388.0,981.0,0.0,1.0,0.0,0.0
14,63400,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,83.0,42.0,78.0,76.0,79.0,0.0,2737.0,760.0,0.0,1.0,0.0,0.0
15,65002,A Level or Equivalent,2,1.0,1.0,0.0,0.0,0.0,0.0,66.0,68.0,0.0,0.0,0.0,0.0,176.0,56.0,0.0,0.0,0.0,0.0
16,70464,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,59.0,60.0,60.0,61.0,38.0,0.0,1053.0,205.0,0.0,1.0,0.0,0.0
17,71361,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,82.0,86.0,82.0,77.0,75.0,0.0,2327.0,728.0,1.0,1.0,0.0,0.0
18,74372,A Level or Equivalent,4,1.0,1.0,1.0,1.0,0.0,0.0,60.0,18.0,67.0,49.0,0.0,0.0,116.0,72.0,0.0,0.0,0.0,0.0
19,75091,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,67.0,66.0,67.0,65.0,65.0,0.0,2992.0,754.0,0.0,1.0,0.0,0.0
20,77367,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,73.0,76.0,72.0,67.0,64.0,0.0,680.0,271.0,0.0,1.0,0.0,0.0
21,91265,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,74.0,75.0,73.0,57.0,0.0,1494.0,496.0,0.0,1.0,0.0,0.0
22,94961,Lower Than A Level,2,1.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,1240.0,417.0,0.0,0.0,0.0,0.0
23,98094,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,62.0,59.0,59.0,61.0,62.0,0.0,2839.0,386.0,0.0,1.0,0.0,0.0
24,100893,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,63.0,68.0,71.0,74.0,66.0,0.0,744.0,243.0,0.0,1.0,0.0,0.0
25,101781,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,84.0,64.0,75.0,66.0,74.0,0.0,4104.0,913.0,0.0,1.0,0.0,0.0
26,102806,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,80.0,86.0,86.0,78.0,60.0,0.0,1944.0,781.0,0.0,1.0,0.0,0.0
27,102952,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,76.0,70.0,83.0,73.0,81.0,0.0,1150.0,313.0,0.0,1.0,0.0,0.0
28,104476,Post Graduate Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,85.0,78.0,80.0,77.0,78.0,0.0,4777.0,992.0,0.0,1.0,0.0,0.0
29,106247,HE Qualification,2,1.0,1.0,1.0,0.0,0.0,0.0,67.0,66.0,47.0,0.0,0.0,0.0,465.0,145.0,0.0,0.0,0.0,0.0
30,106577,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,57.0,51.0,56.0,38.0,65.0,0.0,733.0,221.0,0.0,1.0,0.0,0.0
31,110175,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,66.0,61.0,68.0,53.0,69.0,0.0,998.0,343.0,0.0,1.0,0.0,0.0
32,111717,HE Qualification,1,1.0,0.0,1.0,0.0,1.0,0.0,80.0,0.0,80.0,0.0,83.0,0.0,2343.0,589.0,1.0,1.0,0.0,0.0
33,113295,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,81.0,77.0,77.0,75.0,78.0,0.0,3553.0,1001.0,0.0,1.0,0.0,0.0
34,114017,Post Graduate Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,66.0,76.0,74.0,72.0,71.0,0.0,757.0,231.0,0.0,1.0,0.0,0.0
35,114999,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,74.0,79.0,77.0,80.0,54.0,0.0,1358.0,510.0,0.0,1.0,0.0,0.0
36,116541,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,76.0,66.0,60.0,60.0,50.0,0.0,1886.0,514.0,0.0,1.0,0.0,0.0
37,116692,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,77.0,72.0,78.0,72.0,0.0,1108.0,311.0,0.0,1.0,0.0,0.0
38,118983,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,73.0,63.0,65.0,63.0,45.0,0.0,284.0,111.0,0.0,1.0,0.0,0.0
39,123044,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,72.0,72.0,70.0,68.0,0.0,2041.0,600.0,0.0,1.0,0.0,0.0
40,127582,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,69.0,66.0,71.0,75.0,67.0,0.0,1321.0,440.0,0.0,1.0,0.0,0.0
41,129955,A Level or Equivalent,2,1.0,1.0,1.0,0.0,0.0,0.0,85.0,82.0,76.0,0.0,0.0,0.0,1888.0,537.0,1.0,0.0,0.0,0.0
42,132976,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,63.0,65.0,75.0,72.0,62.0,0.0,520.0,152.0,0.0,1.0,0.0,0.0
43,134143,A Level or Equivalent,3,1.0,1.0,1.0,1.0,1.0,0.0,87.0,83.0,85.0,86.0,81.0,0.0,2732.0,569.0,1.0,0.0,0.0,0.0
44,135335,Lower Than A Level,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,34.0,0.0,0.0,0.0,0.0
45,135400,Lower Than A Level,2,1.0,1.0,0.0,0.0,0.0,0.0,72.0,51.0,0.0,0.0,0.0,0.0,610.0,202.0,0.0,0.0,0.0,0.0
46,137873,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,72.0,81.0,83.0,78.0,87.0,0.0,5528.0,1409.0,1.0,1.0,0.0,0.0
47,141355,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,77.0,74.0,70.0,71.0,71.0,0.0,1823.0,585.0,0.0,1.0,0.0,0.0
48,141377,A Level or Equivalent,2,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,756.0,250.0,0.0,0.0,0.0,0.0
49,142326,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,65.0,76.0,74.0,71.0,82.0,0.0,2121.0,631.0,0.0,1.0,0.0,0.0
50,144801,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,61.0,64.0,65.0,75.0,79.0,0.0,5645.0,1620.0,0.0,1.0,0.0,0.0
51,145130,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,37.0,49.0,48.0,63.0,0.0,452.0,149.0,0.0,1.0,0.0,0.0
52,146188,A Level or Equivalent,4,1.0,1.0,1.0,1.0,1.0,0.0,52.0,53.0,62.0,43.0,40.0,0.0,597.0,192.0,0.0,0.0,0.0,0.0
53,147756,Lower Than A Level,4,1.0,1.0,1.0,1.0,0.0,0.0,77.0,72.0,75.0,71.0,0.0,0.0,1718.0,590.0,0.0,0.0,0.0,0.0
54,147793,Lower Than A Level,2,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,155.0,41.0,0.0,0.0,0.0,0.0
55,148993,A Level or Equivalent,2,1.0,1.0,1.0,0.0,0.0,0.0,68.0,70.0,78.0,0.0,0.0,0.0,3812.0,1272.0,0.0,0.0,0.0,0.0
56,151358,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,54.0,48.0,45.0,53.0,50.0,0.0,270.0,89.0,0.0,1.0,0.0,0.0
57,155550,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,66.0,68.0,61.0,65.0,0.0,1529.0,419.0,0.0,1.0,0.0,0.0
58,155854,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,82.0,79.0,79.0,81.0,78.0,0.0,4003.0,963.0,0.0,1.0,0.0,0.0
59,155984,Lower Than A Level,2,1.0,1.0,0.0,0.0,0.0,0.0,85.0,75.0,0.0,0.0,0.0,0.0,2645.0,806.0,0.0,0.0,0.0,0.0
60,157568,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,79.0,81.0,74.0,60.0,59.0,0.0,1405.0,386.0,0.0,1.0,0.0,0.0
61,159954,A Level or Equivalent,2,1.0,1.0,0.0,0.0,0.0,0.0,65.0,68.0,0.0,0.0,0.0,0.0,2062.0,648.0,0.0,0.0,0.0,0.0
62,164259,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,82.0,58.0,78.0,73.0,68.0,0.0,466.0,239.0,0.0,1.0,0.0,0.0
63,167906,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,60.0,58.0,82.0,72.0,75.0,0.0,1510.0,515.0,0.0,1.0,0.0,0.0
64,168936,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,76.0,79.0,62.0,54.0,61.0,0.0,745.0,302.0,0.0,1.0,0.0,0.0
65,172112,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,60.0,67.0,74.0,72.0,75.0,0.0,1939.0,697.0,0.0,1.0,0.0,0.0
66,172797,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,60.0,54.0,67.0,66.0,60.0,0.0,1782.0,415.0,0.0,1.0,0.0,0.0
67,174782,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,83.0,79.0,77.0,83.0,80.0,0.0,6318.0,1643.0,1.0,1.0,0.0,0.0
68,175392,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,85.0,74.0,82.0,93.0,78.0,0.0,4447.0,1311.0,1.0,1.0,0.0,0.0
69,175932,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,76.0,73.0,78.0,82.0,82.0,0.0,2016.0,437.0,0.0,1.0,0.0,0.0
70,175991,A Level or Equivalent,4,1.0,1.0,1.0,1.0,1.0,0.0,51.0,28.0,42.0,32.0,35.0,0.0,138.0,50.0,0.0,0.0,0.0,0.0
71,180753,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,61.0,59.0,44.0,59.0,44.0,0.0,2012.0,858.0,0.0,1.0,0.0,0.0
72,181316,A Level or Equivalent,2,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,487.0,145.0,0.0,0.0,0.0,0.0
73,183096,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,57.0,53.0,51.0,52.0,57.0,0.0,1975.0,547.0,0.0,1.0,0.0,0.0
74,183947,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,67.0,33.0,48.0,54.0,43.0,0.0,964.0,368.0,0.0,1.0,0.0,0.0
75,184271,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,65.0,62.0,65.0,53.0,54.0,0.0,1312.0,477.0,0.0,1.0,0.0,0.0
76,185439,HE Qualification,4,1.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,427.0,99.0,0.0,0.0,0.0,0.0
77,186149,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,85.0,81.0,78.0,55.0,81.0,0.0,2136.0,585.0,0.0,1.0,0.0,0.0
78,187100,A Level or Equivalent,3,1.0,1.0,1.0,1.0,1.0,0.0,88.0,90.0,88.0,90.0,90.0,0.0,8562.0,1922.0,1.0,0.0,0.0,0.0
79,188278,A Level or Equivalent,2,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,4497.0,1491.0,0.0,0.0,0.0,0.0
80,189879,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,76.0,85.0,83.0,83.0,70.0,0.0,1541.0,442.0,0.0,1.0,0.0,0.0
81,192183,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,66.0,68.0,75.0,58.0,0.0,3219.0,804.0,0.0,1.0,0.0,0.0
82,195262,A Level or Equivalent,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1905.0,352.0,0.0,0.0,0.0,0.0
83,200860,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,69.0,58.0,59.0,53.0,33.0,0.0,534.0,280.0,0.0,1.0,0.0,0.0
84,202635,A Level or Equivalent,2,1.0,1.0,1.0,0.0,0.0,0.0,68.0,70.0,62.0,0.0,0.0,0.0,1418.0,297.0,0.0,0.0,0.0,0.0
85,205350,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,59.0,87.0,65.0,75.0,0.0,1665.0,563.0,0.0,1.0,0.0,0.0
86,205719,A Level or Equivalent,4,1.0,1.0,1.0,0.0,0.0,0.0,67.0,63.0,40.0,0.0,0.0,0.0,333.0,117.0,0.0,0.0,0.0,0.0
87,227499,A Level or Equivalent,3,1.0,1.0,1.0,1.0,1.0,0.0,84.0,83.0,84.0,84.0,83.0,0.0,2953.0,807.0,1.0,0.0,0.0,0.0
88,227517,HE Qualification,4,1.0,1.0,1.0,1.0,1.0,0.0,63.0,67.0,66.0,63.0,54.0,0.0,1205.0,387.0,0.0,0.0,0.0,0.0
89,228082,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,58.0,68.0,77.0,77.0,82.0,0.0,227.0,136.0,0.0,1.0,0.0,0.0
90,228222,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,71.0,45.0,67.0,66.0,60.0,0.0,445.0,166.0,0.0,1.0,0.0,0.0
91,229179,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,64.0,68.0,70.0,73.0,55.0,0.0,614.0,163.0,0.0,1.0,0.0,0.0
92,229361,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,81.0,76.0,75.0,82.0,76.0,0.0,1215.0,349.0,0.0,1.0,0.0,0.0
93,231554,A Level or Equivalent,1,1.0,1.0,1.0,0.0,1.0,0.0,80.0,62.0,63.0,0.0,66.0,0.0,1839.0,435.0,0.0,1.0,0.0,0.0
94,235507,A Level or Equivalent,2,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1257.0,572.0,0.0,0.0,0.0,0.0
95,236284,Post Graduate Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,85.0,84.0,83.0,78.0,60.0,0.0,732.0,210.0,0.0,1.0,0.0,0.0
96,238007,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,83.0,73.0,68.0,86.0,86.0,0.0,1935.0,743.0,0.0,1.0,0.0,0.0
97,240712,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,82.0,81.0,80.0,70.0,66.0,0.0,321.0,107.0,0.0,1.0,0.0,0.0
98,240884,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,74.0,54.0,56.0,54.0,54.0,0.0,427.0,191.0,0.0,1.0,0.0,0.0
99,241649,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,85.0,66.0,80.0,78.0,85.0,0.0,1892.0,573.0,0.0,1.0,0.0,0.0
100,241729,HE Qualification,4,1.0,1.0,1.0,1.0,1.0,0.0,51.0,55.0,62.0,64.0,61.0,0.0,1829.0,627.0,0.0,0.0,0.0,0.0
101,242793,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,66.0,75.0,77.0,85.0,84.0,0.0,658.0,263.0,0.0,1.0,0.0,0.0
102,246834,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,60.0,56.0,58.0,52.0,52.0,0.0,1174.0,351.0,0.0,1.0,0.0,0.0
103,248270,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,77.0,79.0,74.0,80.0,82.0,0.0,1969.0,752.0,0.0,1.0,0.0,0.0
104,255548,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,84.0,75.0,84.0,60.0,54.0,0.0,2580.0,815.0,0.0,1.0,0.0,0.0
105,256815,HE Qualification,1,1.0,1.0,1.0,1.0,1.0,0.0,71.0,75.0,79.0,79.0,80.0,0.0,1481.0,518.0,0.0,1.0,0.0,0.0
106,258392,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,58.0,57.0,64.0,54.0,61.0,0.0,844.0,299.0,0.0,1.0,0.0,0.0
107,258894,Lower Than A Level,1,1.0,1.0,1.0,1.0,1.0,0.0,58.0,65.0,75.0,72.0,54.0,0.0,4963.0,1370.0,0.0,1.0,0.0,0.0
108,260355,A Level or Equivalent,2,1.0,1.0,1.0,0.0,0.0,0.0,55.0,60.0,0.0,0.0,0.0,0.0,426.0,134.0,0.0,0.0,0.0,0.0
109,262011,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,60.0,79.0,70.0,75.0,71.0,0.0,1066.0,345.0,0.0,1.0,0.0,0.0
110,262934,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,81.0,80.0,75.0,72.0,75.0,0.0,2407.0,717.0,0.0,1.0,0.0,0.0
111,268073,A Level or Equivalent,4,1.0,1.0,1.0,1.0,1.0,0.0,64.0,78.0,83.0,75.0,73.0,0.0,3210.0,716.0,0.0,0.0,0.0,0.0
112,268733,A Level or Equivalent,2,1.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,35.0,0.0,0.0,0.0,191.0,56.0,0.0,0.0,0.0,0.0
113,271251,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,80.0,62.0,72.0,83.0,85.0,0.0,3348.0,639.0,0.0,1.0,0.0,0.0
114,277880,A Level or Equivalent,2,1.0,1.0,1.0,0.0,0.0,0.0,70.0,65.0,68.0,0.0,0.0,0.0,2028.0,477.0,0.0,0.0,0.0,0.0
115,279572,Lower Than A Level,3,1.0,1.0,1.0,1.0,1.0,0.0,79.0,82.0,73.0,79.0,83.0,0.0,1183.0,297.0,0.0,0.0,0.0,0.0
116,281022,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,70.0,72.0,74.0,77.0,74.0,0.0,492.0,183.0,0.0,1.0,0.0,0.0
117,281250,Lower Than A Level,4,1.0,1.0,1.0,1.0,1.0,0.0,63.0,57.0,65.0,40.0,52.0,0.0,130.0,77.0,0.0,0.0,0.0,0.0
118,281589,HE Qualification,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,28.0,0.0,0.0,0.0,0.0
119,282821,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,61.0,53.0,72.0,74.0,43.0,0.0,1961.0,478.0,0.0,1.0,0.0,0.0
120,286488,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,55.0,73.0,77.0,70.0,80.0,0.0,1046.0,284.0,0.0,1.0,0.0,0.0
121,287548,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,69.0,70.0,60.0,70.0,70.0,0.0,483.0,144.0,0.0,1.0,0.0,0.0
122,290201,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,78.0,69.0,75.0,58.0,72.0,0.0,1740.0,496.0,0.0,1.0,0.0,0.0
123,290757,A Level or Equivalent,1,1.0,1.0,1.0,1.0,1.0,0.0,75.0,74.0,76.0,80.0,70.0,0.0,652.0,153.0,0.0,1.0,0.0,0.0
124,291334,A Level or Equivalent,3,1.0,1.0,1.0,1.0,1.0,0.0,85.0,84.0,85.0,86.0,78.0,0.0,5231.0,1879.0,1.0,0.0,0.0,0.0
125,292923,A Level or Equivalent,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,293699,A Level or Equivalent,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,55.0,53.0,38.0,41.0,0.0,187.0,114.0,0.0,1.0,0.0,0.0
